Argument1	Argument2	Argument3
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	2	10
2	11	11
2	12	12
2	13	13
2	14	14
2	15	15
2	16	16
2	17	17
2	18	18
2	19	19
2	2	20
3	21	21
3	22	22
3	23	23
3	24	24
3	25	25
3	26	26
3	27	27
3	28	28
3	29	29
3	2	30
4	31	31
4	32	32
4	33	33
4	34	34
4	35	35
4	36	36
4	37	37
4	38	38
4	39	39
4	2	40
5	41	41
5	42	42
5	43	43
5	44	44
5	45	45
5	46	46
5	47	47
5	48	48
5	49	49
5	2	50
6	51	51
6	52	52
6	53	53
6	54	54
6	55	55
6	56	56
6	57	57
6	58	58
6	59	59
6	2	60
7	61	61
7	62	62
7	63	63
7	64	64
7	65	65
7	66	66
7	67	67
7	68	68
7	69	69
7	2	70
8	71	71
8	72	72
8	73	73
8	74	74
8	75	75
8	76	76
8	77	77
8	78	78
8	79	79
8	2	80
9	81	81
9	82	82
9	83	83
9	84	84
9	85	85
9	86	86
9	87	87
9	88	88
9	89	89
9	2	90
10	91	91
10	92	92
10	93	93
10	94	94
10	95	95
10	96	96
10	97	97
10	98	98
10	99	99
10	100	100
